2026-05-07 10:50:50 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-07 10:50:52 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-07 10:50:53 | INFO     | LoginPage | Login page loaded
2026-05-07 10:50:53 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-07 10:50:54 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-07 10:50:56 | INFO     | conftest | UI login complete
2026-05-07 10:50:56 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:50:56 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:50:56 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-07 10:50:56 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:50:57 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., '+ Add Note')]") — falling back to JS click
2026-05-07 10:50:59 | INFO     | NotesPage | Note submitted: Automation Note 1778131256
2026-05-07 10:51:43 | INFO     | NotesPage | No explicit banner — dashboard visible, form closed; treating as success
2026-05-07 10:51:43 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-success-banner_20260507_105143.png
2026-05-07 10:51:43 | INFO     | NotesPage | Already on dashboard page
2026-05-07 10:51:43 | INFO     | NotesPage | Notes dashboard loaded
2026-05-07 10:51:44 | INFO     | NotesPage | Notes visible in UI: ['Automation Note 1778131256\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:20:59\nViewEditDelete', 'Instant Visibility 1778131074\nShould appear without reload\nMay 7, 2026 at 05:17:56\nViewEditDelete', 'Automation Note 1778130989\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:16:31\nViewEditDelete', 'Instant Visibility 1778130368\nShould appear without reload\nMay 7, 2026 at 05:06:11\nViewEditDelete', 'Automation Note 1778130283\nSelenium Python Pytest automation test\nMay 7, 2026 at 05:04:46\nViewEditDelete', 'Honey\nE2E description\nMay 7, 2026 at 03:51:56\nViewEditDelete']
2026-05-07 10:51:44 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-PASS_20260507_105144.png
2026-05-07 10:51:44 | INFO     | conftest | Browser closed
