2026-05-06 22:00:13 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 22:00:14 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 22:00:15 | INFO     | LoginPage | Login page loaded
2026-05-06 22:00:15 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 22:00:16 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 22:00:18 | INFO     | conftest | UI login complete
2026-05-06 22:00:18 | INFO     | NotesPage | Already on dashboard page
2026-05-06 22:00:18 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:00:18 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 22:00:18 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 22:00:19 | INFO     | api.api_client | ← POST /users/login | status=200 | 450ms
2026-05-06 22:00:19 | INFO     | api.api_client | API login successful — token acquired
2026-05-06 22:00:19 | INFO     | api.api_client | ← POST /notes | status=200 | 394ms
2026-05-06 22:00:22 | INFO     | NotesPage | Notes visible in UI: ['To Be Deleted 1778085019\nWill be removed via API\nMay 6, 2026 at 16:30:19\nViewEditDelete', 'To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:00:22 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-before-delete_20260506_220022.png
2026-05-06 22:00:22 | INFO     | api.api_client | ← DELETE /notes/69fb6c9b81124e02985b7fca | status=200 | 298ms
2026-05-06 22:00:22 | INFO     | api.api_client | ← GET /notes | status=200 | 287ms
2026-05-06 22:00:24 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-after-delete_20260506_220024.png
2026-05-06 22:00:25 | INFO     | NotesPage | Notes after delete: ['To Be Deleted 1778075640\nWill be removed via API\nMay 6, 2026 at 13:54:00\nViewEditDelete', 'To Be Deleted 1778074572\nWill be removed via API\nMay 6, 2026 at 13:36:13\nViewEditDelete', 'To Be Deleted 1778062921\nWill be removed via API\nMay 6, 2026 at 10:22:01\nViewEditDelete']
2026-05-06 22:00:25 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/E2E-02-UI-clean_20260506_220025.png
2026-05-06 22:00:26 | INFO     | conftest | Browser closed
