2026-05-06 19:24:36 | INFO     | conftest | Launching browser: chrome | headless=False
2026-05-06 19:24:37 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
2026-05-06 19:24:38 | INFO     | LoginPage | Login page loaded
2026-05-06 19:24:38 | INFO     | LoginPage | Login attempted for hihello@gmail.com
2026-05-06 19:24:38 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
2026-05-06 19:24:40 | INFO     | conftest | UI login complete
2026-05-06 19:24:40 | INFO     | NotesPage | Already on dashboard page
2026-05-06 19:24:40 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:24:40 | INFO     | NotesPage | Waiting for Notes dashboard to fully load
2026-05-06 19:24:41 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:24:42 | WARNING  | NotesPage | Click intercepted on ('xpath', "//button[contains(., 'Add Note')]") — falling back to JS click
2026-05-06 19:24:43 | WARNING  | NotesPage | Click intercepted on ('css selector', "button[type='submit']") — falling back to JS click
2026-05-06 19:24:44 | INFO     | NotesPage | Note submitted: Automation Note 1778075681
2026-05-06 19:24:54 | INFO     | NotesPage | Success banner found in DOM
2026-05-06 19:24:54 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-04-success-banner_20260506_192454.png
2026-05-06 19:24:54 | INFO     | NotesPage | Already on dashboard page
2026-05-06 19:24:54 | INFO     | NotesPage | Notes dashboard loaded
2026-05-06 19:25:04 | INFO     | NotesPage | Notes visible in UI: []
2026-05-06 19:25:04 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/FAIL_test_create_note_valid_20260506_192504.png
2026-05-06 19:25:04 | INFO     | conftest | Browser closed
