10:54:30 | INFO     | conftest | Launching browser: chrome | headless=False
10:54:30 | INFO     | WDM | xdist worker is: gw1
10:54:30 | INFO     | WDM | ====== WebDriver manager ======
10:54:31 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:31 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:31 | INFO     | WDM | There is no [mac64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
10:54:31 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:32 | INFO     | WDM | WebDriver version 147.0.7727.117 selected
10:54:32 | INFO     | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:32 | INFO     | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/mac-arm64/chromedriver-mac-arm64.zip
10:54:32 | INFO     | WDM | Driver downloading response is 200
10:54:40 | INFO     | WDM | Get LATEST chromedriver version for google-chrome
10:54:40 | INFO     | WDM | Driver has been saved in cache [/Users/sjaditya/.wdm/gw1/drivers/chromedriver/mac64/147.0.7727.117]
10:54:42 | INFO     | LoginPage | Navigating to https://practice.expandtesting.com/notes/app/login
10:54:44 | INFO     | LoginPage | Login page loaded
10:54:44 | DEBUG    | LoginPage | Typing 'hihello@gmail.com' into ('id', 'email')
10:54:45 | DEBUG    | LoginPage | Typing 'Hi@hello' into ('id', 'password')
10:54:45 | INFO     | LoginPage | Login attempted for hihello@gmail.com
10:54:45 | INFO     | LoginPage | Redirected to: https://practice.expandtesting.com/notes/app
10:54:48 | INFO     | utils.screenshot | Screenshot saved → /Users/sjaditya/Documents/notes_automation_patched/reports/screenshots/TC-UI-01-PASS_20260507_105447.png
10:54:48 | INFO     | conftest | Browser closed
